"nvprod5010021v","タグフープピアス レ ガストン ヴィトン (ホワイトゴールド) 単品",583000,"シルバー","ルイ･ヴィトンの孫であるガストン-ルイ･ヴィトンの情熱と創造力から着想を得た｢タグフープピアス レ ガストン ヴィトン｣。クラシカルなシグネチャーに｢レ ガストン ヴィトン｣コレクションならではのフレッシュなひねりを加えました。光沢感のあるホワイトゴールドに、象徴的なモノグラム･パターンをレーザーカットで施し、縦に並べ替えた革新的なデザインは、まるでメゾンのアイコンが詰まった宝石箱のよう。タイムレスな雰囲気が薫る、独創的でモダンなファインジュエリーです。","Les Extraordinaires(レ･ゼクストラオーディネル):ジュエリー:メンズ向けジュエリー"
"nvprod5010022v","グルメットブレスレット レ ガストン ヴィトン (イエローゴールド)",1545500,"ゴールド","新たな｢レ ガストン ヴィトン｣コレクションに登場した、ルイ･ヴィトンの孫であるガストン-ルイ･ヴィトンのユニークで多面的なパーソナリティから着想を得た｢グルメットブレスレット レ ガストン ヴィトン｣。手作業で磨き上げたイエローゴールドのリンクに、レーザーカットでアイコニックなモノグラム･フラワー モチーフとイニシャルの刻印を施し、背面は洗練された雰囲気を演出するサンディング加工で仕上げました。メゾンに受け継がれる卓越したクラフツマンシップにオマージュを捧げる、現代的な美しさが際立つファインジュエリーです。","ジュエリー:ジュエリー カテゴリー:ブレスレット"
"nvprod5010022v","グルメットブレスレット レ ガストン ヴィトン (イエローゴールド)",1545500,"ゴールド","新たな｢レ ガストン ヴィトン｣コレクションに登場した、ルイ･ヴィトンの孫であるガストン-ルイ･ヴィトンのユニークで多面的なパーソナリティから着想を得た｢グルメットブレスレット レ ガストン ヴィトン｣。手作業で磨き上げたイエローゴールドのリンクに、レーザーカットでアイコニックなモノグラム･フラワー モチーフとイニシャルの刻印を施し、背面は洗練された雰囲気を演出するサンディング加工で仕上げました。メゾンに受け継がれる卓越したクラフツマンシップにオマージュを捧げる、現代的な美しさが際立つファインジュエリーです。","ジュエリー:ジュエリー カテゴリー:ブレスレット"
"nvprod5010023v","グルメットネックレス レ ガストン ヴィトン (イエローゴールド)",4180000,"ゴールド","革新的でモダンな｢レ ガストン ヴィトン｣ファインジュエリー コレクションの傑出したアイテムの1つである｢グルメットネックレス レ ガストン ヴィトン｣。ゴールドのリンクにレーザーカットでモノグラムのシグネチャーを刻印しました。ルイ･ヴィトンの孫であるガストン-ルイ･ヴィトンの好奇心豊かなパーソナリティと家族への献身にオマージュを捧げる、クリエイティブなデザインです。卓越したクラフツマンシップが目を引くネックレスは、同コレクションの他のジュエリーとの組み合わせも楽しめます。","Les Extraordinaires(レ･ゼクストラオーディネル):ジュエリー:メンズ向けジュエリー"
"nvprod5010024v","トランクピアス レ ガストン ヴィトン (ホワイトゴールド×ダイヤモンド) 単品",309100,"シルバー","｢私はトランクの中で生まれたと言っても過言ではない｣と語っていた、ルイ･ヴィトンの孫であるガストン-ルイ･ヴィトン。コレクター、クリエイター、そして大胆でダンディな人物でもあった彼を讃える、ファインジュエリー コレクションの｢トランクピアス レ ガストン ヴィトン｣。メゾンの歴史的なラゲージをホワイトゴールドのスタッズピアスとして再解釈し、モノグラムのアイコンを精緻に刻印しました。ルイ･ヴィトンの伝統が息づく、タイムレスでありながらモダンな雰囲気のファインジュエリーです。","Les Extraordinaires(レ･ゼクストラオーディネル):ジュエリー:メンズ向けジュエリー"
"nvprod5010025v","トランクペンダント レ ガストン ヴィトン (ホワイトゴールド×ダイヤモンド)",566500,"シルバー","デザイナー フランチェスカ･アムフィテアトロフが手掛けた｢トランクペンダント レ ガストン ヴィトン｣。ルイ･ヴィトンの孫であり、トランクの熱心な蒐集家でもあったユニークで先見性を持つパーソナリティのガストン-ルイ･ヴィトンを讃えてデザインされました。手作業で磨き上げたホワイトゴールドにきらめくダイヤモンドをあしらい、洗練されたシグネチャーであるモノグラムのアイコンを刻印した精緻なトランクが特徴です。メゾンが誇るトランク作りの伝統にオマージュを捧げる、タイムレスでありながらモダンなファインジュエリーです。","Les Extraordinaires(レ･ゼクストラオーディネル):ジュエリー:メンズ向けジュエリー"
"nvprod5010026v","トランクブレスレット レ ガストン ヴィトン (ホワイトゴールド×ダイヤモンド)",2321000,"シルバー","個性的なデザインが魅力の｢トランクブレスレット レ ガストン ヴィトン｣。ルイ･ヴィトンの孫であり、クリエイター、そしてトランクのコレクターとして知られ、スタイリッシュでダンディな人物でもあったガストン-ルイ･ヴィトンの想い出にオマージュを捧げています。スクエアフォルムのトランクにダイヤモンドでアクセントを添え、伝統的なモノグラムのシグネチャーを刻印したきらめくゴールド製。タイムレスでエレガントなブレスレットは、｢レ ガストン ヴィトン｣コレクションの他のアイテムとのコーディネートも楽しめます。","ジュエリー:ジュエリー カテゴリー:ブレスレット"
"nvprod5010026v","トランクブレスレット レ ガストン ヴィトン (ホワイトゴールド×ダイヤモンド)",2321000,"シルバー","個性的なデザインが魅力の｢トランクブレスレット レ ガストン ヴィトン｣。ルイ･ヴィトンの孫であり、クリエイター、そしてトランクのコレクターとして知られ、スタイリッシュでダンディな人物でもあったガストン-ルイ･ヴィトンの想い出にオマージュを捧げています。スクエアフォルムのトランクにダイヤモンドでアクセントを添え、伝統的なモノグラムのシグネチャーを刻印したきらめくゴールド製。タイムレスでエレガントなブレスレットは、｢レ ガストン ヴィトン｣コレクションの他のアイテムとのコーディネートも楽しめます。","ジュエリー:ジュエリー カテゴリー:ブレスレット"
"nvprod5010027v","トランクネックレス レ ガストン ヴィトン (ホワイトゴールド×ダイヤモンド)",6424000,"シルバー","｢私はトランクの中で生まれたと言っても過言ではない｣と好んで語っていた、ルイ･ヴィトンの孫であるガストン-ルイ･ヴィトン。彼を讃える｢トランクネックレス レ ガストン ヴィトン｣は、メゾンの歴史を再解釈したファインジュエリー コレクションです。眩いホワイトゴールドのジュエリーには、きらめくダイヤモンドや刻印されたモノグラムのアイコンがアクセントに。単体ではもちろん、｢レ ガストン ヴィトン｣コレクションの他のアイテムとのコーディネートも楽しめる、タイムレスでありながらモダンなネックレスです。","Les Extraordinaires(レ･ゼクストラオーディネル):ジュエリー:メンズ向けジュエリー"
"nvprod5020003v","バケットハット･ドーフィーヌ",111100,"マロン","ルイ･ヴィトンの最も象徴的な2つのパターンを組み合わせた、クール & モダンな印象の｢バケットハット･ドーフィーヌ｣。メゾンのアイコニックなバッグ｢ドーフィーヌ｣を想わせるゴールドカラーのメタル製のシグネチャーで飾ったレザーバンドで、モノグラム･クラウンとモノグラム･リバースのブリム(つば)が区切られています。カジュアルなスタイルに欠かせない、シックで快適な着け心地のアイテムです。","ウィメンズ:アクセサリー:帽子＆手袋"
