"nvprod880045v","ジッピー・オーガナイザー NM",138600,"ブラック","メゾンのアイコニックなエピ･レザーに繊細なグレインレザーを施したコンパクトで収納性に優れた財布＆オーガナイザー「ジッピー･オーガナイザー NM」。コインケースは開け易いファスナー式。硬貨や紙幣、クレジットカード、トラベラーズチェック、パスポート、航空券、ペン、メモ用紙などの旅の必需品を収納できます。モダンなライフスタイルに最適なアイテムです。","メンズ:財布＆小物:メンズ メンズロングウォレット（長財布）"
"nvprod880046v","ジッピー・オーガナイザー",114400,"マロン","伝統的なモノグラム･キャンバスを使用したルイ･ヴィトンのアイコニックな「ジッピー・オーガナイザー」。洗練されたデザインと機能性を兼ね備えたファスナー開閉式のコンパクトな財布は、複数のクレジットカード用スロット、ファスナー式の小銭入れ、航空券を収納できる大きめのポケットを備えた機能性に優れたアイテムです。","メンズ:財布＆小物:メンズ メンズロングウォレット（長財布）"
"nvprod880047v","ジッピー・オーガナイザー マイLV ヘリテージ",147400,"マロン","トランク製造業として創業したメゾンの歴史が息づく「マイLV ヘリテージ」は、洗練とパーソナライゼーション･サービスの伝統を受け継いでいます。","メンズ:パーソナライゼーション:財布＆小物"
"nvprod880048v","ジッピー・オーガナイザー NM",138600,"ブラック","コンパクトで収納性に優れた財布＆オーガナイザー「ジッピー･オーガナイザー NM」。コインケースは開け易いファスナー式。硬貨や紙幣、クレジットカード、トラベラーズチェック、パスポート、航空券、ペン、メモ用紙などの旅の必需品を収納できます。","メンズ:財布＆小物:メンズ メンズロングウォレット（長財布）"
"nvprod880050v","ジッピーウォレット・ヴェルティカル",97900,"グレー","モダンなモノグラム･エクリプス キャンバスを使用したファスナー開閉式デザインの財布「ジッピーウォレット・ヴェルティカル」は、カードや紙幣を持ち歩くのに最適なスタイリッシュで機能的なアイテム。複数のクレジットカード用スロットとファスナー式コインケース、紙類や紙幣用のコンパートメントを備えています。<br><br>※実際の製品の金具の色は黒味をおびたシルバーカラーになります。","メンズ:財布＆小物:メンズ メンズロングウォレット（長財布）"
"nvprod900044v","PDB MM",302500,"グレー","アイコニックなダミエ･グラフィット キャンバスにシルバーカラーの金具を組み合わせた「PDB MM」。ファイルや書類に加え、ラップトップも収納可能なセパレートパッド付きのコンパートメントを備えています。長さ調節と着脱可能なストラップでトロリー「ホライゾン」にすっきりと安全に取り付けられます。","メンズ:バッグ:メンズ ビジネスバッグ"
"nvprod900058v","メダリオン ブロッサム XL(ピンクゴールド×ホワイト マザー・オブ・パール×ダイヤモンド）",1056000,"ピンク","1896年に創業者ルイ･ヴィトンの息子、ジョルジュ･ヴィトンがデザインしたモノグラム･フラワー モチーフを祝して誕生した「カラー ブロッサム」。フラワー型に彫刻したホワイト マザー・オブ・パールにピンクゴールドを組み合わせました。新たに登場した大胆なサイズのメダリオンは、他のカラーブロッサムモデルとの相性も抜群。3通りの着け方を楽しめる、あらゆる装いにフレッシュな雰囲気を添える一品です。","ウィメンズ:ジュエリー:すべてのジュエリー"
"nvprod900062v","メダリオン ブロッサム XL(ピンクゴールド×マラカイト×ダイヤモンド）",1160500,"ピンク","1896年に創業者ルイ･ヴィトンの息子、ジョルジュ･ヴィトンがデザインしたモノグラム･フラワー モチーフを祝して誕生した「カラー ブロッサム」。フラワー型に彫刻したマラカイトにピンクゴールドを組み合わせました。新たに登場した大胆なサイズのメダリオンは、他のカラーブロッサムモデルとの相性も抜群。3通りの着け方を楽しめる、あらゆる装いにフレッシュな雰囲気を添える一品です。


","ウィメンズ:ジュエリー:すべてのジュエリー"
"nvprod900064v","ブラスレ 4モチーフ ブロッサム BB（ピンクゴールド×ホワイト マザー・オブ・パール×ダイヤモンド）",874500,"ピンク","1896年に創業者ルイ･ヴィトンの息子、ジョルジュ･ヴィトンがデザインしたモノグラム･フラワー モチーフを祝して誕生した「カラー ブロッサムBB」。フラワー型に彫刻した小ぶりなホワイト マザー･オブ･パールに組み合わせたピンクゴールドが、ダイヤモンドによって美しく際立ちます。数ヶ月におよぶ手作業を経て完成した繊細な曲線と輝きが魅力の一品です。

","ウィメンズ:ジュエリー:すべてのジュエリー"
"nvprod920001v","ツイスト MM",572000,"ホワイト","メゾンを象徴するエピ･レザーで仕上げた「ツイスト MM」。ゴールドカラーに輝く彫刻的なLV ツイストロックが視線を集めます。本体の底部分に採用された独創的な波型のデザインが、驚くほどの収納力を実現。デイタイムからイブニングシーンまでをファッショナブルに演出する美しいバッグです。スライド式のチェーンストラップで、ショルダーバッグとしてもクロスボディバッグとしてもお使いいただけます。「ツイスト」は、2015クルーズ･コレクションでメゾンのニュークラシックとして発表されたデザインです。","ウィメンズ:バッグ:ウィメンズ ショルダーバッグ、クロスボディバッグ"
